output,min scaler,max scaler,n hidden layers,neurons per layer,mse training,mse test,r2 training,r2 test,training time,prediction time
alpha,,,,,,,,,,
DVDil,,,,,,,,,,
kappaIb,,,,,,,,,,
kappa,,,,,,,,,,
psi,,,,,,,,,,
PVmax,,,,,,,,,,
PVmin,,,,,,,,,,
SourcePV,0,1182.616,,,,,,,,
Temperature,,,,,,,,,,
varT,,,,,,,,,,
Viscosity,,,,,,,,,,
Yb2I,,,,,,,,,,
YcWI,,,,,,,,,,
Yu2I,,,,,,,,,,
YuYbI,,,,,,,,,,
